Data,ID,Região,ID do produto,Categoria,Pontos,Column1
1/19/2019,C126,NE,941254104-X,Smartphones e Tablets,278,1
9/11/2019,C028,CO,788959641-3,Smartphones e Tablets,724,9
8/26/2019,C088,SUL,941254104-X,Smartphones e Tablets,576,8
1/19/2019,C068,NE,782417101-9,Produtos para o negócio,333,1
3/24/2019,C225,SUL,949632246-8,Cozinha,367,3
1/8/2019,C098,SUL,847676762-5,Produtos para o negócio,821,1
5/13/2019,C156,NO,847676762-5,Produtos para o negócio,427,5
2/1/2019,C153,NE,281914369-5,Produtos para o negócio,599,2
11/4/2019,C224,CO,271951398-9,Produtos para o negócio,358,11
3/29/2019,C201,NE,847676762-5,Produtos para o negócio,692,3
9/23/2019,C143,SE,782417101-9,Produtos para o negócio,547,9
3/6/2019,C151,NO,941254104-X,Smartphones e Tablets,309,3
4/13/2019,C148,SUL,782417101-9,Produtos para o negócio,287,4
1/15/2019,C206,NO,281914369-5,Produtos para o negócio,47,1
3/31/2019,C071,NO,941254104-X,Smartphones e Tablets,393,3
2/12/2019,C082,SE,788959641-3,Smartphones e Tablets,412,2
3/24/2019,C225,SUL,271951398-9,Produtos para o negócio,313,3
3/1/2019,C174,SUL,733547075-7,Cozinha,188,3
4/1/2019,C161,SUL,949632246-8,Cozinha,539,4
3/26/2019,C153,NE,281914369-5,Produtos para o negócio,482,3
10/4/2019,C108,NE,733547075-7,Cozinha,796,10
3/8/2019,C042,NO,542176934-8,Cozinha,834,3
8/3/2019,C230,NE,788959641-3,Smartphones e Tablets,412,8
4/11/2019,C207,CO,949632246-8,Cozinha,572,4
9/6/2019,C020,SUL,788959641-3,Smartphones e Tablets,653,9
7/4/2019,C147,NO,542176934-8,Cozinha,140,7
8/7/2019,C202,SE,094714157-X,Smartphones e Tablets,220,8
7/27/2019,C025,SUL,949632246-8,Cozinha,373,7
2/3/2019,C112,NE,542176934-8,Cozinha,876,2
8/25/2019,C245,CO,788959641-3,Smartphones e Tablets,838,8
4/15/2019,C166,CO,094714157-X,Smartphones e Tablets,161,4
5/23/2019,C214,NE,941254104-X,Smartphones e Tablets,578,5
3/20/2019,C159,CO,094714157-X,Smartphones e Tablets,430,3
10/3/2019,C174,SUL,271951398-9,Produtos para o negócio,939,10
10/18/2019,C229,NE,542176934-8,Cozinha,871,10
8/16/2019,C007,NE,782417101-9,Produtos para o negócio,563,8
6/24/2019,C104,SE,782417101-9,Produtos para o negócio,261,6
5/8/2019,C057,CO,788959641-3,Smartphones e Tablets,365,5
2/11/2019,C176,NO,733547075-7,Cozinha,190,2
8/18/2019,C135,NE,847676762-5,Produtos para o negócio,249,8
11/4/2019,C146,SE,281914369-5,Produtos para o negócio,673,11
5/12/2019,C037,SE,941254104-X,Smartphones e Tablets,968,5
1/3/2019,C245,CO,941254104-X,Smartphones e Tablets,963,1
5/28/2019,C225,SUL,733547075-7,Cozinha,235,5
5/19/2019,C101,SUL,542176934-8,Cozinha,909,5
5/23/2019,C091,CO,542176934-8,Cozinha,903,5
3/31/2019,C132,NE,271951398-9,Produtos para o negócio,451,3
12/21/2019,C223,SUL,941254104-X,Smartphones e Tablets,219,12
2/6/2019,C147,NO,281914369-5,Produtos para o negócio,954,2
3/22/2019,C161,SUL,847676762-5,Produtos para o negócio,37,3
1/13/2019,C157,CO,542176934-8,Cozinha,580,1
1/3/2019,C036,SUL,542176934-8,Cozinha,612,1
1/11/2019,C055,SUL,281914369-5,Produtos para o negócio,623,1
8/2/2019,C093,NE,281914369-5,Produtos para o negócio,704,8
9/27/2019,C140,NO,788959641-3,Smartphones e Tablets,790,9
9/28/2019,C027,NO,941254104-X,Smartphones e Tablets,462,9
7/15/2019,C066,CO,949632246-8,Cozinha,864,7
3/9/2019,C169,CO,949632246-8,Cozinha,851,3
10/27/2019,C172,SE,788959641-3,Smartphones e Tablets,924,10
2/5/2019,C003,NO,733547075-7,Cozinha,540,2
12/1/2019,C253,SE,542176934-8,Cozinha,407,12
12/14/2019,C124,SUL,847676762-5,Produtos para o negócio,184,12
1/18/2019,C146,SE,281914369-5,Produtos para o negócio,454,1
1/30/2019,C104,SE,847676762-5,Produtos para o negócio,781,1
3/20/2019,C210,NE,941254104-X,Smartphones e Tablets,496,3
7/25/2019,C069,SE,941254104-X,Smartphones e Tablets,675,7
12/13/2019,C139,SE,271951398-9,Produtos para o negócio,882,12
6/3/2019,C183,NE,094714157-X,Smartphones e Tablets,907,6
4/21/2019,C130,CO,281914369-5,Produtos para o negócio,59,4
3/18/2019,C168,NE,788959641-3,Smartphones e Tablets,446,3
7/8/2019,C068,NE,788959641-3,Smartphones e Tablets,546,7
6/18/2019,C042,NO,733547075-7,Cozinha,324,6
3/20/2019,C097,SUL,949632246-8,Cozinha,940,3
8/11/2019,C117,SUL,542176934-8,Cozinha,651,8
2/24/2019,C208,SUL,281914369-5,Produtos para o negócio,460,2
4/21/2019,C257,NE,782417101-9,Produtos para o negócio,221,4
9/19/2019,C243,SE,271951398-9,Produtos para o negócio,614,9
4/13/2019,C262,NO,542176934-8,Cozinha,832,4
11/15/2019,C189,NE,733547075-7,Cozinha,589,11
3/11/2019,C176,NO,733547075-7,Cozinha,30,3
2/20/2019,C173,CO,271951398-9,Produtos para o negócio,850,2
1/15/2019,C163,SE,941254104-X,Smartphones e Tablets,404,1
10/13/2019,C171,NE,094714157-X,Smartphones e Tablets,293,10
2/24/2019,C193,NO,788959641-3,Smartphones e Tablets,994,2
6/13/2019,C038,SE,271951398-9,Produtos para o negócio,919,6
10/15/2019,C103,CO,271951398-9,Produtos para o negócio,391,10
9/29/2019,C238,SE,281914369-5,Produtos para o negócio,979,9
11/21/2019,C138,NE,949632246-8,Cozinha,178,11
8/4/2019,C096,SE,788959641-3,Smartphones e Tablets,858,8
7/7/2019,C045,CO,949632246-8,Cozinha,494,7
5/11/2019,C121,SE,733547075-7,Cozinha,172,5
12/8/2019,C108,NE,847676762-5,Produtos para o negócio,416,12
1/20/2019,C078,NO,788959641-3,Smartphones e Tablets,79,1
7/25/2019,C228,SUL,733547075-7,Cozinha,336,7
2/22/2019,C045,CO,782417101-9,Produtos para o negócio,536,2
1/8/2019,C040,NE,271951398-9,Produtos para o negócio,881,1
9/14/2019,C189,NE,941254104-X,Smartphones e Tablets,138,9
2/25/2019,C247,CO,949632246-8,Cozinha,945,2
1/7/2019,C055,SUL,094714157-X,Smartphones e Tablets,518,1
9/23/2019,C142,SE,949632246-8,Cozinha,660,9
11/10/2019,C080,SE,847676762-5,Produtos para o negócio,893,11
2/19/2019,C046,SE,788959641-3,Smartphones e Tablets,605,2
12/23/2019,C202,SE,949632246-8,Cozinha,914,12
5/16/2019,C079,SE,941254104-X,Smartphones e Tablets,609,5
8/14/2019,C249,SE,941254104-X,Smartphones e Tablets,822,8
1/9/2019,C186,SUL,281914369-5,Produtos para o negócio,753,1
1/21/2019,C006,NO,941254104-X,Smartphones e Tablets,907,1
2/26/2019,C059,NE,941254104-X,Smartphones e Tablets,544,2
6/13/2019,C090,NO,788959641-3,Smartphones e Tablets,536,6
3/29/2019,C071,NO,733547075-7,Cozinha,356,3
7/16/2019,C088,SUL,941254104-X,Smartphones e Tablets,225,7
7/20/2019,C147,NO,542176934-8,Cozinha,610,7
12/29/2019,C213,NO,271951398-9,Produtos para o negócio,645,12
8/27/2019,C189,NE,782417101-9,Produtos para o negócio,340,8
5/25/2019,C180,SE,782417101-9,Produtos para o negócio,565,5
12/9/2019,C171,NE,733547075-7,Cozinha,923,12
3/6/2019,C097,SUL,847676762-5,Produtos para o negócio,858,3
4/27/2019,C212,CO,847676762-5,Produtos para o negócio,417,4
1/5/2019,C105,CO,271951398-9,Produtos para o negócio,399,1
7/3/2019,C219,SE,788959641-3,Smartphones e Tablets,488,7
7/4/2019,C019,SE,094714157-X,Smartphones e Tablets,299,7
7/8/2019,C046,SE,281914369-5,Produtos para o negócio,82,7
2/10/2019,C025,SUL,542176934-8,Cozinha,815,2
5/15/2019,C151,NO,271951398-9,Produtos para o negócio,275,5
8/31/2019,C154,SUL,733547075-7,Cozinha,44,8
1/4/2019,C170,NO,949632246-8,Cozinha,834,1
12/24/2019,C233,SUL,788959641-3,Smartphones e Tablets,807,12
12/31/2019,C227,NE,094714157-X,Smartphones e Tablets,661,12
5/5/2019,C004,SE,941254104-X,Smartphones e Tablets,982,5
7/19/2019,C189,NE,782417101-9,Produtos para o negócio,799,7
11/28/2019,C215,SUL,733547075-7,Cozinha,667,11
10/27/2019,C222,NO,733547075-7,Cozinha,99,10
4/19/2019,C258,CO,733547075-7,Cozinha,955,4
8/28/2019,C092,NE,271951398-9,Produtos para o negócio,382,8
11/26/2019,C158,CO,542176934-8,Cozinha,711,11
2/18/2019,C189,NE,281914369-5,Produtos para o negócio,890,2
9/15/2019,C249,SE,281914369-5,Produtos para o negócio,963,9
8/17/2019,C252,SE,949632246-8,Cozinha,323,8
8/20/2019,C142,SE,782417101-9,Produtos para o negócio,251,8
3/29/2019,C230,NE,281914369-5,Produtos para o negócio,499,3
9/22/2019,C209,NO,847676762-5,Produtos para o negócio,828,9
10/21/2019,C181,NO,847676762-5,Produtos para o negócio,977,10
8/23/2019,C197,SE,941254104-X,Smartphones e Tablets,739,8
11/2/2019,C077,SUL,847676762-5,Produtos para o negócio,764,11
4/29/2019,C177,CO,094714157-X,Smartphones e Tablets,983,4
2/3/2019,C248,NE,271951398-9,Produtos para o negócio,855,2
10/14/2019,C157,CO,271951398-9,Produtos para o negócio,323,10
8/28/2019,C043,CO,094714157-X,Smartphones e Tablets,675,8
5/14/2019,C010,NE,733547075-7,Cozinha,591,5
9/17/2019,C033,NE,281914369-5,Produtos para o negócio,321,9
12/13/2019,C111,NO,733547075-7,Cozinha,428,12
5/12/2019,C212,CO,847676762-5,Produtos para o negócio,195,5
12/7/2019,C007,NE,847676762-5,Produtos para o negócio,811,12
3/25/2019,C179,NO,094714157-X,Smartphones e Tablets,624,3
12/28/2019,C123,SUL,281914369-5,Produtos para o negócio,799,12
9/4/2019,C207,CO,782417101-9,Produtos para o negócio,393,9
11/25/2019,C260,SUL,941254104-X,Smartphones e Tablets,455,11
10/28/2019,C089,SUL,941254104-X,Smartphones e Tablets,237,10
12/16/2019,C027,NO,782417101-9,Produtos para o negócio,683,12
10/16/2019,C083,NE,788959641-3,Smartphones e Tablets,890,10
10/12/2019,C093,NE,542176934-8,Cozinha,728,10
10/14/2019,C168,NE,788959641-3,Smartphones e Tablets,267,10
7/10/2019,C069,SE,782417101-9,Produtos para o negócio,258,7
12/25/2019,C235,SUL,733547075-7,Cozinha,479,12
10/11/2019,C180,SE,281914369-5,Produtos para o negócio,399,10
4/20/2019,C184,SE,542176934-8,Cozinha,298,4
9/13/2019,C043,CO,542176934-8,Cozinha,336,9
7/14/2019,C051,SUL,941254104-X,Smartphones e Tablets,951,7
2/19/2019,C005,CO,542176934-8,Cozinha,45,2
6/16/2019,C060,SE,788959641-3,Smartphones e Tablets,374,6
10/17/2019,C064,SUL,281914369-5,Produtos para o negócio,362,10
11/3/2019,C057,CO,733547075-7,Cozinha,361,11
9/16/2019,C115,SE,542176934-8,Cozinha,662,9
7/3/2019,C207,CO,941254104-X,Smartphones e Tablets,274,7
8/6/2019,C097,SUL,281914369-5,Produtos para o negócio,567,8
10/30/2019,C172,SE,941254104-X,Smartphones e Tablets,277,10
10/15/2019,C236,NO,788959641-3,Smartphones e Tablets,544,10
5/22/2019,C083,NE,782417101-9,Produtos para o negócio,1000,5
11/8/2019,C079,SE,949632246-8,Cozinha,458,11
8/2/2019,C148,SUL,847676762-5,Produtos para o negócio,526,8
3/6/2019,C083,NE,941254104-X,Smartphones e Tablets,274,3
6/30/2019,C233,SUL,281914369-5,Produtos para o negócio,624,6
12/16/2019,C099,SE,949632246-8,Cozinha,485,12
3/31/2019,C060,SE,271951398-9,Produtos para o negócio,66,3
7/13/2019,C232,SE,271951398-9,Produtos para o negócio,95,7
9/6/2019,C191,SUL,847676762-5,Produtos para o negócio,190,9
11/26/2019,C126,NE,847676762-5,Produtos para o negócio,32,11
2/20/2019,C085,CO,281914369-5,Produtos para o negócio,67,2
12/3/2019,C173,CO,094714157-X,Smartphones e Tablets,486,12
7/16/2019,C126,NE,782417101-9,Produtos para o negócio,48,7
6/27/2019,C060,SE,788959641-3,Smartphones e Tablets,563,6
3/6/2019,C075,SE,094714157-X,Smartphones e Tablets,370,3
9/5/2019,C101,SUL,094714157-X,Smartphones e Tablets,20,9
11/24/2019,C191,SUL,542176934-8,Cozinha,360,11
10/9/2019,C119,NO,847676762-5,Produtos para o negócio,178,10
7/1/2019,C253,SE,782417101-9,Produtos para o negócio,115,7
6/16/2019,C151,NO,941254104-X,Smartphones e Tablets,358,6
8/9/2019,C198,NE,847676762-5,Produtos para o negócio,875,8
10/10/2019,C227,NE,847676762-5,Produtos para o negócio,188,10
5/8/2019,C134,SE,949632246-8,Cozinha,579,5
7/26/2019,C217,NO,782417101-9,Produtos para o negócio,674,7
7/16/2019,C145,SUL,542176934-8,Cozinha,936,7
6/8/2019,C010,NE,271951398-9,Produtos para o negócio,166,6
3/27/2019,C137,CO,542176934-8,Cozinha,406,3
7/22/2019,C112,NE,542176934-8,Cozinha,191,7
11/13/2019,C027,NO,281914369-5,Produtos para o negócio,729,11
10/21/2019,C159,CO,847676762-5,Produtos para o negócio,108,10
4/23/2019,C112,NE,782417101-9,Produtos para o negócio,897,4
1/14/2019,C039,CO,733547075-7,Cozinha,955,1
7/28/2019,C231,CO,733547075-7,Cozinha,805,7
7/5/2019,C184,SE,847676762-5,Produtos para o negócio,876,7
1/3/2019,C033,NE,094714157-X,Smartphones e Tablets,752,1
10/5/2019,C092,NE,847676762-5,Produtos para o negócio,58,10
3/15/2019,C162,CO,788959641-3,Smartphones e Tablets,868,3
6/14/2019,C177,CO,782417101-9,Produtos para o negócio,966,6
12/9/2019,C232,SE,281914369-5,Produtos para o negócio,868,12
12/14/2019,C080,SE,941254104-X,Smartphones e Tablets,758,12
11/27/2019,C089,SUL,542176934-8,Cozinha,774,11
10/2/2019,C010,NE,281914369-5,Produtos para o negócio,384,10
1/15/2019,C124,SUL,542176934-8,Cozinha,553,1
11/18/2019,C198,NE,271951398-9,Produtos para o negócio,288,11
9/7/2019,C157,CO,281914369-5,Produtos para o negócio,787,9
12/22/2019,C177,CO,542176934-8,Cozinha,846,12
12/11/2019,C146,SE,281914369-5,Produtos para o negócio,850,12
9/10/2019,C201,NE,271951398-9,Produtos para o negócio,484,9
11/29/2019,C005,CO,788959641-3,Smartphones e Tablets,130,11
7/23/2019,C076,SUL,788959641-3,Smartphones e Tablets,336,7
8/24/2019,C088,SUL,094714157-X,Smartphones e Tablets,264,8
6/27/2019,C210,NE,271951398-9,Produtos para o negócio,986,6
2/5/2019,C011,NO,733547075-7,Cozinha,670,2
7/14/2019,C028,CO,941254104-X,Smartphones e Tablets,664,7
5/13/2019,C117,SUL,271951398-9,Produtos para o negócio,539,5
8/25/2019,C006,NO,271951398-9,Produtos para o negócio,550,8
11/28/2019,C252,SE,094714157-X,Smartphones e Tablets,77,11
6/20/2019,C220,NO,094714157-X,Smartphones e Tablets,553,6
9/16/2019,C021,SUL,847676762-5,Produtos para o negócio,910,9
6/2/2019,C241,SUL,733547075-7,Cozinha,551,6
6/6/2019,C041,SUL,281914369-5,Produtos para o negócio,901,6
9/3/2019,C227,NE,281914369-5,Produtos para o negócio,741,9
1/22/2019,C102,SE,782417101-9,Produtos para o negócio,447,1
9/24/2019,C019,SE,941254104-X,Smartphones e Tablets,896,9
9/3/2019,C172,SE,733547075-7,Cozinha,301,9
8/28/2019,C185,SUL,281914369-5,Produtos para o negócio,506,8
3/14/2019,C034,NE,782417101-9,Produtos para o negócio,648,3
4/12/2019,C080,SE,281914369-5,Produtos para o negócio,97,4
5/13/2019,C223,SUL,949632246-8,Cozinha,592,5
10/30/2019,C188,NE,847676762-5,Produtos para o negócio,310,10
3/22/2019,C144,NE,941254104-X,Smartphones e Tablets,424,3
11/10/2019,C247,CO,271951398-9,Produtos para o negócio,498,11
12/6/2019,C144,NE,094714157-X,Smartphones e Tablets,442,12
6/12/2019,C013,CO,788959641-3,Smartphones e Tablets,783,6
8/28/2019,C133,CO,733547075-7,Cozinha,163,8
12/8/2019,C112,NE,094714157-X,Smartphones e Tablets,998,12
10/16/2019,C059,NE,281914369-5,Produtos para o negócio,33,10
10/29/2019,C221,CO,782417101-9,Produtos para o negócio,948,10
11/14/2019,C238,SE,271951398-9,Produtos para o negócio,152,11
6/24/2019,C040,NE,941254104-X,Smartphones e Tablets,800,6
11/10/2019,C142,SE,847676762-5,Produtos para o negócio,586,11
10/17/2019,C179,NO,094714157-X,Smartphones e Tablets,639,10
9/14/2019,C078,NO,941254104-X,Smartphones e Tablets,221,9
1/11/2019,C136,CO,281914369-5,Produtos para o negócio,474,1
4/24/2019,C026,SUL,094714157-X,Smartphones e Tablets,207,4
5/20/2019,C079,SE,281914369-5,Produtos para o negócio,201,5
5/11/2019,C206,NO,847676762-5,Produtos para o negócio,618,5
1/16/2019,C069,SE,782417101-9,Produtos para o negócio,316,1
8/6/2019,C126,NE,788959641-3,Smartphones e Tablets,771,8
10/19/2019,C142,SE,094714157-X,Smartphones e Tablets,449,10
7/17/2019,C043,CO,094714157-X,Smartphones e Tablets,187,7
6/16/2019,C016,SE,281914369-5,Produtos para o negócio,912,6
9/19/2019,C128,CO,949632246-8,Cozinha,332,9
8/10/2019,C143,SE,847676762-5,Produtos para o negócio,904,8
11/9/2019,C085,CO,271951398-9,Produtos para o negócio,675,11
7/10/2019,C088,SUL,847676762-5,Produtos para o negócio,31,7
9/22/2019,C178,SUL,847676762-5,Produtos para o negócio,499,9
3/16/2019,C056,CO,788959641-3,Smartphones e Tablets,235,3
6/12/2019,C227,NE,949632246-8,Cozinha,489,6
11/19/2019,C086,SE,094714157-X,Smartphones e Tablets,544,11
7/5/2019,C029,CO,847676762-5,Produtos para o negócio,317,7
7/2/2019,C240,SE,281914369-5,Produtos para o negócio,877,7
11/15/2019,C263,SE,949632246-8,Cozinha,481,11
